audio_path,label,frame_labels,start_sec,end_sec,transcript,chunk_language
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000010.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000010.npy,,,"And, of course, generally increasing political and cultural turmoil. So now, more than ever, we need great leaders, great peacemakers, who build bridges, not destroy them, who may preserve the identity of their nations but still celebrate the common humanity of all of us, all people on earth. For this, and many other reasons, this conversation with Prime Minister Modi was one of the most It's remarkable.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000011.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000011.npy,,,"I've ever had. You may hear such words and think that I'm just enamored by power or access. No. Never was. Never would be. I do not idolize anyone, especially those in power. I'm generally skeptical of power, money, and fame because of their natural, corrupting influence on the mind, the heart the soul of a person the whole point of all the conversations I've had",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000012.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000012.npy,,,"in my life, on Mike and off Mike, is that I try to see and explore the full complexity of every human being, the good and the bad. I believe we're all the same in a deep fundamental sense, all capable of good, all capable of evil, all carry stories of pain and stories of hope, whether you're a world leader or or a truck driver, a coal miner, or a farmer in the...",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000013.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000013.npy,,,American Midwest and by the way I will be talking to a lot of the latter kind of folk this year off-mic and maybe even on mic as I travel the US and the world. My brief statements here about Narendra Modi are about both him as a leader and especially him as a human being. In the extensive time I spent with him and spoke with him off-mic and on-mic it was a deeply personal human interaction and characterized by-,en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000014.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000014.npy,,,"warmth, kindness, humor, inner and outer peace, and absolute focus on the conversation between us in the present moment, as if nothing else existed. I have heard from many people that he treats everyone he meets in this empathic way, no matter where they come from or what their position is in this world. So for those that many other reasons this really was an incredible experience, I will You'll never forget.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000015.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000015.npy,,,"Oh, and by the way, we make captions and voice over audio tracks available in English, Hindi, and other languages. You can also listen to the original mixed language version where I speak English and Prime Minister Modi speaks Hindi. Separately, you can choose to turn on subtitles in your preferred language. On YouTube, you can switch between language audio tracks by clicking the settings gear icon, then clicking Audio Track.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000016.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000016.npy,,,"then selecting the language you prefer. For fully English overdub, select English. For fully Hindi overdub, select Hindi. And to listen to the original mixed language version where I speak English and Prime Minister Modi speaks Hindi, please select Hindi Latin audio track. So you can listen either to a version that is all one language or to the original mixed language version with subtitles in your preferred language. The default is English Overdub.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000017.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000017.npy,,,"or thanks to Eleven Labs and a great team of translators, we do our best to bring the Prime Minister's voice to life with AI voice cloning in English. I promise that we will continue to work very hard to break down the barriers that language creates and try to make these conversations as accessible as possible to everyone in the world. Anyway, let me pause one more time time to say a big thank you.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000018.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000018.npy,,,"What a wild ride this life has been. It's an honor for me to be on it with all of you. I love you all. This is Alex Friedman podcast, and now dear friends, here's the Prime Minister of India, Narendra Modi. So I should also say I'm fasting right now. It's been almost two days, 45 hours, so just water, no food. in honor of this conversation, just to get in the right...",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000019.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000019.npy,,,आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� �,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000020.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000020.npy,,,"भारत में जो दारमिक परमपराय है, बो दर असल जीवन शाएली है। और हमारी सुप्रिम कोट में हिंदू दम के बड्या वेख्या की है अमारी सुप्रिम कोट में काहां के है",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000021.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000021.npy,,,"इंदुदर्म में कोई पुजा पाट, पुजा पद्धदि का नाम नहीं, लेकिन ये है, बिया आप लाइप है, जीवन जीने के पद्धि है, अर उस में हमारे शास्तरो में शरीए, मान, बुद्धी, आत्मा, मनुशत्वत किस प्रकार थे मुचाई पर लेजाना इन सारे विशों के प्रकार थे मुचाई प्रकार थे मुचाई लेजाना इन सारे विशों के प्रकार थे मुचाई लेजाना इन सारे विशों के प्रकार �",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000022.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000022.npy,,,"अगर सामान ने बाशा में बाशा, अगर सामान ने बाशा में बाशा, अगर सामान ने बाशा में बाशा, अगर सामान ने बाशा में बाशा, अगर सामान ने बाशा, अगर सामान ने बाशा, अगर सामान ने बाशा, अगर सामान ने बाशा ने बाशा, अगर सामान ने बाश",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000023.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000023.npy,,,"या जो हिंदूस्तान को जानते नहीं यह से दर्सशकों को लिए कहूं तो जीवन को अंतर भाई यह दोनो प्रकार के दिस्प्रिंक किलिये यह बहुती उप्कारग है यह जीवन को गरने मे भी काम आता है जब आप उप्फास करते हैं तापने देखा होगे ज़स आपने कहा� तो दिन से पानिप रहे है, अपकी ज़ुटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौटौ",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000024.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000024.npy,,,"जितनी इंद्रिय है, खासकरके, सुगन्द की हो, स्पर्सक की हो, स्वाद की हो, ये इतनी जागुरुक होगे होगी, कि आपको पानी की भी श्मैल आती हो. पहले कभी पानी पीते होंगे, तो श्मैल अनुभव नहीं किया होगा. कोई चाई भी लेकर के आपके बगल से गुजाता होगा तो उस चाई किस मैल आएगी, कोफिए किस मैल आएगी आप ये चोटा सा फुल पहले भी देखते होंगे, आज भी देखेंगे",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000025.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000025.npy,,,आप उस्प मैं बहुति उस्प को रेक्गनाइस कर सकते हैं यहने अपकि सारी इंद्रिये जो है एक दम से बहुति सक्तरी हो जाती है और नकी जो केपेबिलिटी है जीजो को आप सब पनने नहीं और लिस्पाून करने की अने एक बुना बड़ जाती है और मैंते इसका अनुख़बी हूँ,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000026.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000026.npy,,,"तुश्रा मेरा अनुबा है कै, अपके बिचार प्रभाह को, ये बहुत ही शार्प्रेष दिते हैं, नयापन दिते हैं, अप एक दम से अब्टाब बाउक्स, मैंनी जानता हूँ औरो का उप्पास का यही अनुबा होगा, मेरा है. दुस्रा जादा तर लोगों को लगता है कि उप्पास मतला में खाना चोर देला खाना मुँँँँ",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000027.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000027.npy,,,"ये तो होगा एक फिजीकल अक्टिविति, कोई वेखति किसे किसे कठेनावि कोगा, उसको एक खाना नहीं में ला, पेट में कुष नहीं गया, अव उसको कैसे उपास मानेगे, ये ये ये ये ये चान्टिफिक प्रक्रिया है, अव ज़से मैं लंबे सब़े उपास करता हो, � बादी को इंटरनली क्लीनाप करने के जितने भी",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000028.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000028.npy,,,"अर्वेद की प्रक्टिसीज हैं, योगा की प्रक्टिसीज है, ये आमरी तेदिसनाद प्रक्टिसीज हूँ को करता हूँ। फिर में कोशिज करता हूँ, उपास actually सुरू कने से बहले, बहुत पानी पिना।, बने हो सकुब तोना जादा पानी पिना। तो दीटॉक्षी एक्फिकेशन जिसको कहें, इसके लिएक पकार से मरा बड़ी रेदी हो जाता है। और फिर जब में उपास करता हूँ, तो मेरे लिए उपास एक दिवोशन होता है। मेरे लिए उपास एक दिसिपनिन होता है।",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000029.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000029.npy,,,"अर मैं उपास के समय है, कितनी ही बाहर की गत्विदी करता हूं, लेकिन मैं अन्तर मन में खोया वा रहता हूं, मेरे भीतर रहता हूं, और वो मेरा एकस्पिरियंट से बहुत अधूत अनबूती होती है। अर ये उप्पास मैं कुई कितामों को पडखर के या किसे के उप्डेस के कारान्या",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000030.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000030.npy,,,"मेरे परिवार में गर कोई कारन से रूपास सल रहा है, तो जीजो से नहीं हुए है। मेरे खुत का एक अस्पिर्यान्स था, स्कूल एज में, हमारे हां मात्मा गान्दी की जो इच्छा ती, गव्रक्षा की, उसको लेकर के कान्दूलन चलताता, सरकार को कालून नहीं बना रही से, उसमय पूरे देश में है।",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000031.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000031.npy,,,अदिन का उप्फास करने का शारवाजे लिग जगागा पे बैटकर के करने का कार कम ता,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000032.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000032.npy,,,"तो मैं कनविक्षन मेरा बना कि यह कोई विग्यान है, यह कोई तरब खाना नखाने का यह जग्डा नहीं है, तो उसे कही बार की चीजे है, फिर मैंने दिरे-दिरे-खुद को, कही प्रेवगों से अपने सरीग को, मन को गरने का प्रयास किया, तो कैसी के लंभी प्रक्रिया उपास से लिख लाव",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000033.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000033.npy,,,"अर दुस्री बाद है के मेरी अक्टिवीटी के भी बन नहीं होती मैं उत्तरा ही काम करता हूं, कभी कभी तो लगता हूं, जाडा करता हूं अर दुस्रा मैं देखा है कि उपास के दर्मान में जगर तेहीं अपने विचारों को वेक्तर करना है तु मैं आश्टरे हो जाता हूँ यो भी चार कहाँ से आपते है, कैसे निकलते है। मैं ब्रादबुत अनुफुति करता हूँ। तु यो विचार कहाँ से आपते है, कैसे निकलते है।",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000034.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000034.npy,,,आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000035.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000035.npy,,,"अर बर्शार उतु मैं एक ताएम ही भोजन करना, अने 24 अवर्स मैं एक ताएम, और वो मेरा करीप जुन मेद से सुरू होता है, तो दिवाली के बाख करीप करीप नवेंबर आयाता है, करीप चार महिना, साडे चार महिना, वो मरी एक परम पराचलती है, जिस में में 24 अवर में एक बार कहता हूँ फिर मेरा एक",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000036.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000036.npy,,,"नवरात्री आता है, जो आम तोर पर भारत में सब्टेबर अक्टुबर में होता है, और पूरे देश में उसमें दूर्गा पुजा का उच्सा होता है, शक्ती उपासना का उच्सा होता है, वो एक नाउ दिन का होता है, तो उसे मैं पूरी तरां सरब गरम पानी पीता हूँ। बैसे मैं गरम पानी तो मैरा रूटीन हैं मैं हमेशा ही गरम पानी पीता हूँ। मैरा पराना लाई फैसा था कि जिसके काने का...",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000037.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000037.npy,,,"आदत मेरी बनी है, दुसरा एक मार्च अप्रिल महने में नवरात्री आता है, जिस्ट है मारे हां शाईत्री नवरात्री कहते हैं, जो भी शाए दिस वर्ष, 31st मार्च शे शुरू हो रहा है, तो वो नाउदिन मैं उपास करता है, उस में मैं कुई एक फल एक बार दिन बैं यहने नाउ दिन के लिए ज़िमान लिए मैंने पापया ताए किया",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000038.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000038.npy,,,तो फिर नाव दिन तक पपया सिवय कोईसे चिज को हागते लगाओवा और छर एक बाल नुगा तो बैसा एक नाव दिन का मरा बो रहता है तो साल भर मैं इस पकार से मरा जो सालो से परमपरा में जीवन में बन चुकी है साई दिये मागे सक्तों 15-15 साल से मैं यें तीजा सोग कर रहा हो अस दर बिन ताँम से नहीं नहीं नहीं नहीं तीजा सोग कर रहा हो,hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000039.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000039.npy,,,"And maybe what do they think about that? What do they think about your ability to do that kind of thing? And you're right, I should mention that from even my two days, my ability to be present, my ability to sense everything, sharply focus on this experience is elevated. But yes, is there stories with a world leader that may be jumped to mind when you were fasted? I don't let too many people know about it.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000040.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000040.npy,,,"यह मेरा नीजी मामला है, तो मैं इसकी कुई पब्लिष्टिटिव करेगे, लोकों को थोड़ा बहुत पता चलने लगा यह मैं, CMPM बना उसके बादी पता चलने लगा, दर्वाएक मैं यह मेरा प्योरली परस्टनल मामला रहता है, लिए अप जब पता चल गया है तो मैं उसको अच्छे डंख से लोगों को कोई पुषता है तो बताता हुता कि किसी को उप्योग हो सके है क्योगे मेरी परस्टल पापर्टी तो है नहीं, मेरा एकस्पिरन्स है किसी को भी काम आसकता है",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000041.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000041.npy,,,"कि मेरा तु जीवनी लोगों के लिए है, जैसे मेरा प्रदान मंद्री बनने के बाद, और उस समय रश्पती अबामा के साथ मेरा वाईटा उस मैं बायले ट्रिन बिटिंग था, तब जागर के दोनो सरकारोंगे भी चर्चा चा चा चा जा लिए जब ये काग भी देनर तो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो जो",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000042.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000042.npy,,,"क्या से इंको, इतने बड़ेशके एक प्रदान मुत्री आरे है, वाईटा उसा रहे है, और हम को कैसे खातिजा हूँ कि चिंटा। जब हम बाइते है, तो मेरे लिए गरम पनी आया। तो मैंने का उबामाजी से बड़ी मजाग में का, जि देगो भाई मैरा दिनर बिलकुड का आगया है। आपसा करेक मैंने गलास्वर के साभ दे रगा। फिर बात मैं दुबारा जब मैं गया। तो उनको जाथ था। उना का देखे पिष्ली भार तो बास मते है",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000043.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000043.npy,,,"This time you, the second time I said, it was a fight. I said, this time it was a fight, I have to double you. Let's go to the beginning. You rose from humble beginnings to lead the world's largest democracy. So I think there's a lot of people for whom this is truly inspiring. Your family was of very modest means and you grew up in a one-room house with a mud floor. your whole family living there.",en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000044.wav,en,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000044.npy,,,Tell me about your childhood. How did those humble beginnings shape your outlook on life?,en
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000045.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000045.npy,,,"अब ये आज की दुनिया को देखते हैं, जब तक मैंने गाँम में रहता था, जिस परीविश में रहता था, अब मेरे गाँं की कुछ विष्यस्ता रही है, जो सब दुनिया में बहुती रहर होती है,",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000046.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000046.npy,,,"जब मैं सकूल में पडता सा, तमरे गाँके एक सज्जन ते, वो हमें लगातार सकूलो में सबच्छों के देख हो बै, आपनो कही जाए, और कही पर भी अपको कुई भी नकाशिवाला पत्धर मिलता है, या उस्पर कुई लिखाओवा पत्धर मिलता है, कार्विं की होई को� इसकूल के इसकूलने में एक अद्टा करो",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000047.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000047.npy,,,"तो मेरा जर उस में क्रियाशिटी बडने लेगी समहने लगा, तो पता था लागे हमारा गाम दो बहुती पुराना है, त्यासिक है, फिर कभी कुल में चर्चा होते ती, तो उस में से जानकरी मिलने लगी। बाद में शाए चाएना नेक फिल्म बनाई थी और मैं वो फिल्म के विशिमग देहीं आखबार में पना था कि चाएनीक फिलोसरपर विएन संग वो मेरे गाँम में कापी समय रहे थे कापी",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000048.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000048.npy,,,"भी सेंटूरिष में आई आई आई थे तो बहुत शिक्षा कब बरा केंडर था तो मैंने वसके भीशे में जाना और साथ बारावी सदिका एक विक्टरी मूनिमेंट, सतरवी सदिका एक मन्दीर.",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000049.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000049.npy,,,"सोलवी सदी मैं 2 बहने जो संगीट में बहुत पडी पारंगत्ती ताना दीरी यहने इतनी चीजे सामने आने लगी, तो मैं देख रहाता की फिर जब में मुक्य मुत्री बडाना तो मैंने बडान अस्किवेशन का काम शुनु करवाया तो अस्किवेशन का काम किया ते ज्यान्माया की उस से मैं आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ�",hi
D:\Acads\8th Semester\SU\Assignmen_2\lid_prep\chunks\chunk_000050.wav,hi,D:\Acads\8th Semester\SU\Assignmen_2\lid_prep_subtitles\frame_labels\chunk_000050.npy,,,"अजान्रो बुद्द भिख्वों की सिख्षा कै सेंटर था और बुद्द, जैं, हिंदू, तीनो परमप्राव का वहां प्रभाव रहाता है और हमारे लिए इतियास के बल किताबों तक सिमित नहीं था हम, हर पत्धर बोलता था और दिवार कह रही ती को मैं क्या वूं और जब हमने",hi
